seconds_elapsed,rms,spectral_centroid,zcr,activity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5
75,0.14157033,2807.3118672668843,0.05152925531914894,danger_running,-180.3631,151.18349,-16.455408,50.059814,-23.32574
76,0.10132294,3555.490816725005,0.08007293051861702,danger_running,-176.22145,136.24742,-38.474724,52.75668,-29.651781
77,0.11380408,3597.8114107504966,0.07863405917553191,danger_running,-170.03021,131.63802,-34.224613,45.5575,-26.29706
78,0.067011334,3756.248784934432,0.08541285738031915,danger_running,-197.44308,133.63127,-46.651543,48.455666,-26.77764
79,0.05771464,3937.103489825598,0.09703291223404255,danger_running,-176.28796,132.30376,-50.99189,35.887436,-35.532955
80,0.0329867,4500.890483339902,0.12317154255319149,danger_running,-218.82881,129.76303,-61.605324,51.75468,-38.06376
0,0.04028286,4260.153362791767,0.10353120844414894,play_basketball_alone,-231.06975,124.6851,-45.309036,58.078022,-38.771305
1,0.04006656,4072.453113795155,0.10187416888297872,play_basketball_alone,-209.79187,138.2191,-41.389782,51.820797,-39.853592
2,0.05409882,3990.7860932794724,0.08741273271276596,play_basketball_alone,-194.10454,141.29744,-39.545223,51.707836,-39.79242
3,0.046780184,4321.669807591447,0.10617000498670212,play_basketball_alone,-195.70552,138.94698,-47.159615,58.000908,-40.847443
4,0.042161383,4383.520026844968,0.11048661901595745,play_basketball_alone,-198.3581,131.12277,-46.262955,52.963886,-38.167248
5,0.08172786,2773.99348818532,0.05000727227393617,play_basketball_alone,-205.73666,152.50671,-28.009222,33.29575,-16.865154
6,0.029925415,2311.642615502686,0.05357068650265957,play_basketball_alone,-267.86462,183.74254,-54.403397,30.187635,-22.95321
7,0.026249122,2372.605233265043,0.052926570811170214,play_basketball_alone,-279.49774,193.10634,-68.91195,43.58526,-31.469118
8,0.02748879,2382.55209478755,0.0591080036569149,play_basketball_alone,-273.8458,185.6502,-64.275665,34.612698,-29.358778
9,0.027046714,2572.0424649338997,0.06356486868351063,play_basketball_alone,-270.30524,187.44627,-78.36967,43.870667,-35.255238
10,0.05011796,2422.27674349871,0.05655751329787234,play_basketball_alone,-222.01044,170.02579,-47.786777,22.72127,-14.958651
11,0.06200399,2370.7597651583364,0.04075590093085106,play_basketball_alone,-213.54991,169.39867,-39.312332,37.18402,-16.519888
12,0.12903522,2353.9381704139914,0.0391611951462766,play_basketball_alone,-160.40598,166.93358,-38.136448,42.908157,-9.103465
13,0.10559962,2617.0170074755215,0.03736390458776596,play_basketball_alone,-184.17659,153.18459,-26.850067,41.092606,-12.007334
14,0.073092155,2451.2580649083357,0.03275639960106383,play_basketball_alone,-223.72586,150.37372,-25.621805,34.946346,-5.657918
15,0.078397885,2516.391758757885,0.03942091921542553,play_basketball_alone,-222.42953,150.82724,-22.110838,29.26798,-9.434737
16,0.11275659,2361.7508089902994,0.03270964926861702,play_basketball_alone,-195.531,147.10497,-16.175446,31.6072,-3.506518
17,0.12741984,2288.1221591732083,0.03203956117021277,play_basketball_alone,-200.16483,152.3724,-16.19708,37.3886,-6.4552493
18,0.112217285,2383.8972936680043,0.030746135305851064,play_basketball_alone,-203.31744,150.20776,-21.296791,42.142635,-6.880777
19,0.06067634,1970.4099082186533,0.025338680186170214,play_basketball_alone,-295.28995,154.00423,-15.802634,32.91529,4.623183
20,0.04683729,2365.387797041357,0.031400639960106384,play_basketball_alone,-290.24625,145.1708,-11.605899,36.544216,-1.9048939
21,0.08188965,2210.61880167842,0.027432056183510637,play_basketball_alone,-243.72559,150.38036,-18.446941,39.835983,-2.7979896
22,0.082417734,1993.2183589091605,0.02803981050531915,play_basketball_alone,-246.52866,161.8291,-13.119795,28.424187,-0.46998316
23,0.05775037,2172.698876053824,0.03213825631648936,play_basketball_alone,-266.182,152.28664,-19.653332,26.566938,3.3895357
24,0.08214215,2115.202935001662,0.02738530585106383,play_basketball_alone,-232.89078,156.38104,-15.697377,36.348843,-0.5569333
25,0.07184769,2345.4308936531643,0.03173308676861702,play_basketball_alone,-237.49023,151.47977,-24.24567,36.262672,-5.1035533
26,0.049343545,2484.827990259144,0.04088576296542553,play_basketball_alone,-246.26239,159.36414,-28.493107,39.99428,-13.276696
27,0.14834453,2342.437443734022,0.031686336436170214,play_basketball_alone,-160.60927,156.25887,-21.329138,40.10638,-10.839102
28,0.1414389,2209.978156098815,0.02539581948138298,play_basketball_alone,-185.84026,156.43456,-14.862488,41.102886,-6.849613
29,0.07827405,2050.7194944542775,0.02181162732712766,play_basketball_alone,-259.04803,154.09718,-17.974577,32.54813,0.28394702
30,0.0872542,2051.918973429131,0.02677755152925532,play_basketball_alone,-236.21208,159.12772,-18.29521,37.58883,-2.5840516
31,0.07861958,2214.3065103824392,0.026216547539893616,play_basketball_alone,-236.2114,154.22066,-22.046381,34.351784,-2.2894392
32,0.054367036,2119.285535785578,0.031187666223404256,play_basketball_alone,-265.38837,157.14262,-23.97459,25.652342,0.04296036
33,0.063494995,2201.5092704018844,0.030013713430851064,play_basketball_alone,-247.82489,149.89035,-16.291124,27.986273,0.8093802
34,0.053324807,2231.7673299744815,0.02977996176861702,play_basketball_alone,-266.20227,148.73534,-16.312,29.807217,1.5147325
35,0.0569879,2362.390336544374,0.03406021442819149,play_basketball_alone,-245.89833,153.77693,-20.916119,29.460629,-3.5422854
36,0.11907431,2198.553959294899,0.029234541223404256,play_basketball_alone,-188.95134,160.69969,-22.512228,40.93114,-6.652837
37,0.1452402,2451.652079462155,0.03517183344414894,play_basketball_alone,-161.56262,158.81212,-25.637701,52.677322,-15.472548
38,0.12143045,1903.7872539053872,0.0198481133643617,play_basketball_alone,-210.5811,163.58438,-16.815506,40.150486,-3.4705615
39,0.116019525,2011.1893325655599,0.025567237367021278,play_basketball_alone,-220.77621,158.42319,-15.812695,43.85471,-0.5661847
40,0.07863835,2012.1391393891245,0.020907787566489363,play_basketball_alone,-252.11127,156.85126,-18.010107,38.142365,-0.36608335
41,0.06397169,2014.0468836999612,0.02332841589095745,play_basketball_alone,-264.9056,158.79312,-20.51484,43.290222,-4.0746055
42,0.07850064,2217.0457184587144,0.02807097739361702,play_basketball_alone,-244.26976,151.33049,-18.269728,31.59583,0.5268157
43,0.059362944,2235.2393900606976,0.02986826795212766,play_basketball_alone,-268.41534,151.00276,-13.196862,26.84706,-0.5146898
44,0.043018274,2207.623057264513,0.03130713929521277,play_basketball_alone,-278.39987,162.99725,-24.76529,33.636795,-12.74866
45,0.10437785,2354.075035000021,0.02742686170212766,play_basketball_alone,-205.88028,149.43863,-21.4901,39.257935,-3.1811793
46,0.11793044,2049.461462637089,0.025162067819148936,play_basketball_alone,-207.23589,158.75996,-17.341228,39.13801,-2.4031396
